::1 - - [06/Mar/2018:21:51:26 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [12/Mar/2018:01:56:26 +0000] "POST /api/auth/login HTTP/1.1" 404 154 "-" "PostmanRuntime/7.1.1"
::1 - - [12/Mar/2018:01:58:43 +0000] "POST /api/auth/login HTTP/1.1" 204 - "-" "PostmanRuntime/7.1.1"
::1 - - [12/Mar/2018:02:00:09 +0000] "POST /api/auth/login HTTP/1.1" 200 239 "-" "PostmanRuntime/7.1.1"
::1 - - [12/Mar/2018:02:03:59 +0000] "POST /api/auth/login HTTP/1.1" 200 132 "-" "PostmanRuntime/7.1.1"
::1 - - [12/Mar/2018:02:19:33 +0000] "POST /api/auth/login HTTP/1.1" 200 132 "-" "PostmanRuntime/7.1.1"
::1 - - [12/Mar/2018:02:24:56 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:25:58 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:26:29 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:26:38 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:27:26 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:27:52 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:28:33 +0000] "POST /api/auth/login HTTP/1.1" 500 36 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:29:42 +0000] "OPTIONS /api/auth/login HTTP/1.1" 200 4 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:29:42 +0000] "POST /api/auth/login HTTP/1.1" 200 132 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:30:39 +0000] "OPTIONS /api/auth/login HTTP/1.1" 200 4 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:30:39 +0000] "POST /api/auth/login HTTP/1.1" 200 132 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:41:30 +0000] "OPTIONS /api/auth/login HTTP/1.1" 200 4 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:41:30 +0000] "POST /api/auth/login HTTP/1.1" 200 127 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:45:15 +0000] "OPTIONS /api/auth/login HTTP/1.1" 200 4 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
::1 - - [12/Mar/2018:02:45:15 +0000] "POST /api/auth/login HTTP/1.1" 200 132 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Mobile Safari/537.36"
